ticker,name,quantity,purchase_price_eur,purchase_total_eur,market_price_eur,market_total_eur,change_eur,change_pct
ABBV,ABBVIE INC,10.0,66.7,666.99,184.9358,1849.358,1182.368,177.2692244261533
GOOG,ALPHABET INC -CL C,10.0,56.26,562.64,239.0416,2390.4159999999997,1827.7759999999998,324.85710223233326
AMZN,AMAZON COM INC - ORD SHS,101.0,96.09,9704.83,207.1426,20921.402599999998,11216.572599999998,115.5772187663256
AZN,ASTRAZENECA PLC,83.0,103.72,8608.72,139.39520000000002,11569.8016,2961.0816000000013,34.39630514176326
BBA.L,BAE SYSTEMS,100.0,15.59,1559.0,20.9622,2096.22,537.2199999999998,34.45926876202693
SAN,BANCO SANTANDER SA,300.0,6.8,2038.65,8.6534,2596.02,557.3699999999999,27.340151570892495
BN,BROOKFIELD CORP,49.0,38.15,1869.52,39.062799999999996,1914.0771999999997,44.55719999999974,2.38334973683083
DIGIA.HE,DIGIA,200.0,2.46,492.67,5.9388,1187.76,695.0899999999999,141.08632553230356
ENEL.MI,ENEL SPA,400.0,7.43,2970.97,8.5946,3437.84,466.87000000000035,15.714396308276434
FORTUM.HE,FORTUM OYJ,200.0,17.28,3456.25,18.9532,3790.64,334.3899999999999,9.674936708860756
IPN.PA,IPSEN ORD SHS,20.0,114.74,2294.84,119.36399999999999,2387.2799999999997,92.4399999999996,4.028167541092172
KOJAMO.HE,KOJAMO OYJ,50.0,13.03,651.67,10.2998,514.99,-136.67999999999995,-20.973805760584337
MANTA.HE,MANDATUM OYJ,159.0,2.96,470.41,6.095599999999999,969.2003999999998,498.7903999999998,106.0331200442167
MRK,MERCK AND CO - ORD SHS,20.0,80.5,1610.01,72.9316,1458.632,-151.37799999999993,-9.402301849056833
MSFT,MICROSOFT CORP - ORD SHS,46.0,244.72,11257.19,439.2066,20203.5036,8946.3136,79.4719961198132
NOKIA.HE,NOKIA OYJ,200.0,5.21,1041.8,5.7428,1148.56,106.75999999999999,10.247648301017469
NDA-FI.HE,NORDEA BANK ABP,8.0,5.66,45.29,14.5138,116.1104,70.8204,156.370942812983
NVO,NOVO NORDISK B AS,35.0,43.22,1512.84,41.4638,1451.233,-61.60699999999997,-4.072274662224689
OGN,ORGANON AND COMPANY,2.0,,,5.723199999999999,11.446399999999999,,
ORNBV.HE,ORION B,60.0,26.53,1592.0,59.339,3560.34,1968.3400000000001,123.63944723618093
PFE,PFIZER INC - ORD SHS,50.0,,,20.903399999999998,1045.1699999999998,,
QCOM,QUALCOMM INC,18.0,107.42,1933.5,153.43859999999998,2761.8947999999996,828.3947999999996,42.84431342125677
SAMPO.HE,SAMPO OYJ A,795.0,6.5,5169.96,9.4766,7533.897,2363.937,45.72447369031868
TDOC,TELADOC HEALTH INC,10.0,173.37,1733.65,7.3206,73.206,-1660.4440000000002,-95.77734836904797
TTALO.HE,TERVEYSTALO OYJ,400.0,10.79,4317.0,9.1434,3657.3599999999997,-659.6400000000003,-15.28005559416262
UPM.HE,UPM-KYMMENE,220.0,28.82,6339.5,22.8144,5019.168,-1320.3320000000003,-20.827068380787132
DIS,WALT DISNEY CO,35.0,119.57,4185.04,95.5206,3343.221,-841.819,-20.114957085236938
AGED.MI,ISHARES AGEING POPULATION UCITS ETF - ACC,300.0,6.47,1941.0,7.683199999999999,2304.96,363.96000000000004,18.751159196290573
RBOT.L,ISHARES AUTOMATION ROBOTICS UCITS ETF - ACC,210.0,10.92,2293.38,14.4648,3037.608,744.2280000000001,32.45114198257594
INRG.L,ISHARES GLOBAL CLEAN ENERGY UCITS ETF - USD DIS,150.0,15.06,2259.0,8.3986,1259.79,-999.21,-44.232403718459494
HEAL.MI,ISHARES HEALTHCARE INNOVATION UCITS ETF - ACC,100.0,6.95,695.0,7.2912,729.12,34.120000000000005,4.909352517985612
CEMA.L,ISHARES MSCI EM ASIA UCITS ETF - USD ACC,20.0,133.1,2662.0,203.203,4064.06,1402.06,52.66942148760331
CSEMSZ.XC,ISHARES MSCI EMU SMALL CAP UCITS ETF - EUR ACC,16.0,239.39,3830.3,318.255,5092.08,1261.7799999999997,32.94206720100252
CSUSSZ.XC,ISHARES MSCI USA SMALL CAP ESG ENHANCED UCITS ETF - USD ACC,6.0,409.0,2454.0,489.95099999999996,2939.7059999999997,485.7059999999997,19.7924205378973
IWRD.L,ISHARES MSCI WORLD UCITS ETF - USD DIS,10.0,59.01,590.11,79.4192,794.192,204.082,34.583721679008995
EXH4.DE,ISHARES STOXX EUROPE 600 INDUSTRIAL GOODS SERVICES UCITS ETF (DE) - EUR DIS,40.0,109.4,4376.0,106.4672,4258.688,-117.3119999999999,-2.6808043875685534
NONE,OP-AASIA INDEKSI A,82.4938,234.57,19350.32,292.7456,24149.69697728,4799.376977280001,24.802571623001587
NONE,OP-AMERIKKA INDEKSI A,36.1678,397.16,14364.47,538.6962000000001,19483.456422360003,5118.986422360003,35.6364447999822
ZPRS.F,SPDR MSCI WORLD SMALL CAP UCITS ETF - USD ACC,75.0,74.96,5621.95,105.9576,7946.82,2324.87,41.35344497905531
GOAT.MI,VANECK MORNINGSTAR GLOBAL WIDE MOAT UCITS ETF - A ACC,100.0,22.67,2267.0,30.370199999999997,3037.0199999999995,770.0199999999995,33.96647551830611
MOTE.MI,VANECK MORNINGSTAR US SUSTAINABLE WIDE MOAT UCITS ETF - A ACC,45.0,48.65,2189.25,53.312,2399.04,209.78999999999996,9.582733812949638
QUTM.DE,VANECK QUANTUM COMPUTING UCITS ETF,80.0,18.42,1473.8,23.569,1885.52,411.72,27.93594788980866
