ticker,name,quantity,purchase_price_eur,purchase_total_eur,market_price_eur,market_total_eur,change_eur,change_pct
ABBV,ABBVIE INC,10.0,66.7,666.99,189.65355,1896.5355,1229.5455,184.34241892682047
GOOG,ALPHABET INC -CL C,10.0,56.26,562.64,245.13959999999997,2451.3959999999997,1888.7559999999999,335.6952936158112
AMZN,AMAZON COM INC - ORD SHS,101.0,96.09,9704.83,212.42684999999997,21455.111849999998,11750.281849999998,121.07663761240535
AZN,ASTRAZENECA PLC,83.0,103.72,8608.72,142.9512,11864.9496,3256.2296000000006,37.824782313747
BBA.L,BAE SYSTEMS,100.0,15.59,1559.0,21.49695,2149.6949999999997,590.6949999999997,37.88935214881332
SAN,BANCO SANTANDER SA,300.0,6.8,2038.65,8.874149999999998,2662.2449999999994,623.5949999999993,30.58862482525197
BN,BROOKFIELD CORP,49.0,38.15,1869.52,40.05929999999999,1962.9056999999996,93.38569999999959,4.995169883178548
DIGIA.HE,DIGIA,200.0,2.46,492.67,6.090299999999999,1218.06,725.3899999999999,147.23648689792353
ENEL.MI,ENEL SPA,400.0,7.43,2970.97,8.813849999999999,3525.5399999999995,554.5699999999997,18.666294173283465
FORTUM.HE,FORTUM OYJ,200.0,17.28,3456.25,19.4367,3887.3399999999997,431.0899999999997,12.472766726943933
IPN.PA,IPSEN ORD SHS,20.0,114.74,2294.84,122.40899999999998,2448.1799999999994,153.33999999999924,6.681947325303692
KOJAMO.HE,KOJAMO OYJ,50.0,13.03,651.67,10.562549999999998,528.1274999999999,-123.54250000000002,-18.957831417742113
MANTA.HE,MANDATUM OYJ,159.0,2.96,470.41,6.251099999999999,993.9248999999999,523.5148999999999,111.2890669841202
MRK,MERCK AND CO - ORD SHS,20.0,80.5,1610.01,74.79209999999999,1495.8419999999999,-114.16800000000012,-7.091136079900133
MSFT,MICROSOFT CORP - ORD SHS,46.0,244.72,11257.19,450.41085,20718.8991,9461.709099999998,84.0503633677676
NOKIA.HE,NOKIA OYJ,200.0,5.21,1041.8,5.8892999999999995,1177.86,136.05999999999995,13.060088308696482
NDA-FI.HE,NORDEA BANK ABP,8.0,5.66,45.29,14.884049999999998,119.07239999999999,73.7824,162.91101788474276
NVO,NOVO NORDISK B AS,35.0,43.22,1512.84,42.52155,1488.25425,-24.585749999999962,-1.625138811771236
OGN,ORGANON AND COMPANY,2.0,,,5.869199999999999,11.738399999999999,,
ORNBV.HE,ORION B,60.0,26.53,1592.0,60.85274999999999,3651.1649999999995,2059.1649999999995,129.34453517587937
PFE,PFIZER INC - ORD SHS,50.0,,,21.436649999999997,1071.8324999999998,,
QCOM,QUALCOMM INC,18.0,107.42,1933.5,157.35285,2832.3513,898.8512999999998,46.48830100853374
SAMPO.HE,SAMPO OYJ A,795.0,6.5,5169.96,9.71835,7726.088249999999,2556.128249999999,49.4419347538472
TDOC,TELADOC HEALTH INC,10.0,173.37,1733.65,7.507349999999999,75.0735,-1658.5765000000001,-95.66962766417674
TTALO.HE,TERVEYSTALO OYJ,400.0,10.79,4317.0,9.37665,3750.66,-566.3400000000001,-13.118832522585134
UPM.HE,UPM-KYMMENE,220.0,28.82,6339.5,23.3964,5147.208,-1192.2920000000004,-18.80735073743987
DIS,WALT DISNEY CO,35.0,119.57,4185.04,97.95734999999999,3428.5072499999997,-756.5327500000003,-18.07707333741136
AGED.MI,ISHARES AGEING POPULATION UCITS ETF - ACC,300.0,6.47,1941.0,7.879199999999999,2363.7599999999998,422.75999999999976,21.78052550231838
RBOT.L,ISHARES AUTOMATION ROBOTICS UCITS ETF - ACC,210.0,10.92,2293.38,14.833799999999998,3115.0979999999995,821.7179999999994,35.82999764539672
INRG.L,ISHARES GLOBAL CLEAN ENERGY UCITS ETF - USD DIS,150.0,15.06,2259.0,8.61285,1291.9275,-967.0725,-42.809760956175296
HEAL.MI,ISHARES HEALTHCARE INNOVATION UCITS ETF - ACC,100.0,6.95,695.0,7.4772,747.72,52.72000000000003,7.585611510791371
CEMA.L,ISHARES MSCI EM ASIA UCITS ETF - USD ACC,20.0,133.1,2662.0,208.38674999999998,4167.735,1505.7349999999997,56.56404958677685
CSEMSZ.XC,ISHARES MSCI EMU SMALL CAP UCITS ETF - EUR ACC,16.0,239.39,3830.3,326.37375,5221.98,1391.6799999999994,36.333446466334216
CSUSSZ.XC,ISHARES MSCI USA SMALL CAP ESG ENHANCED UCITS ETF - USD ACC,6.0,409.0,2454.0,502.44974999999994,3014.6984999999995,560.6984999999995,22.848349633251814
IWRD.L,ISHARES MSCI WORLD UCITS ETF - USD DIS,10.0,59.01,590.11,81.4452,814.452,224.34199999999998,38.01697988510616
EXH4.DE,ISHARES STOXX EUROPE 600 INDUSTRIAL GOODS SERVICES UCITS ETF (DE) - EUR DIS,40.0,109.4,4376.0,109.18319999999999,4367.3279999999995,-8.67200000000048,-0.19817184643511151
NONE,OP-AASIA INDEKSI A,82.4938,234.57,19350.32,300.2136,24765.760675679998,5415.440675679998,27.98631069501692
NONE,OP-AMERIKKA INDEKSI A,36.1678,397.16,14364.47,552.43845,19980.48337191,5616.0133719099995,39.096558187736825
ZPRS.F,SPDR MSCI WORLD SMALL CAP UCITS ETF - USD ACC,75.0,74.96,5621.95,108.66059999999999,8149.544999999999,2527.5949999999993,44.95940020811283
GOAT.MI,VANECK MORNINGSTAR GLOBAL WIDE MOAT UCITS ETF - A ACC,100.0,22.67,2267.0,31.144949999999994,3114.4949999999994,847.4949999999994,37.38398764887514
MOTE.MI,VANECK MORNINGSTAR US SUSTAINABLE WIDE MOAT UCITS ETF - A ACC,45.0,48.65,2189.25,54.67199999999999,2460.2399999999993,270.9899999999993,12.378211716341182
QUTM.DE,VANECK QUANTUM COMPUTING UCITS ETF,80.0,18.42,1473.8,24.17025,1933.62,459.81999999999994,31.199620029854792
SMH,VANECK SEMICONDUCTOR UCITS ETF - ACC,90.0,46.24,4161.3,53.878049999999995,4849.0244999999995,687.7244999999994,16.52667435657125
VHYD.L,VANGUARD FTSE ALLWORLD HIGH DIV. YIELD UCITS ETF,50.0,70.8,3540.0,76.84229999999998,3842.114999999999,302.1149999999989,8.534322033898272
VWCG.DE,VANGUARD FTSE DEVELOPED EUROPE UCITS ETF - EUR ACC,50.0,50.41,2520.5,52.19969999999999,2609.9849999999997,89.48499999999967,3.5502876413409905
VVFEA.L,ANGUARD FTSE EMERGING MARKETS UCITS ETF - ACC,40.0,60.62,2425.0,68.99325,2759.73,334.73,13.803298969072166
