ticker,name,quantity,purchase_price_eur,purchase_total_eur,market_price_eur,market_total_eur,change_eur,change_pct
ABBV,ABBVIE INC,10.0,66.7,666.99,186.73,1867.31,1200.32,179.96
GOOG,ALPHABET INC -CL C,10.0,56.26,562.64,279.71,2797.05,2234.41,397.13
AMZN,AMAZON COM INC - ORD SHS,91.0,97.66,8887.39,203.68,18534.78,9647.4,108.55
AZN,ASTRAZENECA PLC,83.0,103.72,8608.72,157.23,13049.97,4441.25,51.59
BBA.L,BAE SYSTEMS,100.0,15.59,1559.0,23.32,2332.0,773.0,49.58
SAN,BANCO SANTANDER SA,300.0,6.8,2038.65,10.48,3145.2,1106.55,54.28
BNP.PA,BNP PARIBAS - ORD SHS,30.0,75.09,2252.64,88.14,2644.2,391.56,17.38
BN,BROOKFIELD CORP,49.0,38.15,1869.52,40.17,1968.43,98.91,5.29
DIGIA.HE,DIGIA,200.0,2.46,492.67,6.36,1272.0,779.33,158.19
ENEL.MI,ENEL SPA,400.0,7.43,2970.97,9.02,3606.8,635.83,21.4
FORTUM.HE,FORTUM OYJ,200.0,17.28,3456.25,20.0,4000.0,543.75,15.73
IPN.PA,IPSEN ORD SHS,20.0,114.74,2294.84,136.6,2732.0,437.16,19.05
KOJAMO.HE,KOJAMO OYJ,50.0,13.03,651.67,9.82,491.0,-160.67,-24.65
MANTA.HE,MANDATUM OYJ,159.0,2.96,470.41,6.75,1072.61,602.21,128.02
MRK,MERCK AND CO - ORD SHS,20.0,80.5,1610.01,92.13,1842.61,232.6,14.45
MSFT,MICROSOFT CORP - ORD SHS,35.0,274.09,9593.08,396.82,13888.81,4295.72,44.78
NOKIA.HE,NOKIA OYJ,200.0,5.21,1041.8,5.7,1140.4,98.6,9.46
NDA-FI.HE,NORDEA BANK ABP,158.0,14.84,2344.79,16.63,2627.54,282.75,12.06
NVO,NOVO NORDISK B AS,35.0,43.22,1512.84,53.74,1880.84,368.0,24.33
OGN,ORGANON AND COMPANY,2.0,0.0,0.0,8.31,16.62,0.0,0.0
ORNBV.HE,ORION B,60.0,26.53,1592.0,70.1,4206.0,2614.0,164.2
PFE,PFIZER INC - ORD SHS,50.0,0.0,0.0,21.84,1092.23,0.0,0.0
QCOM,QUALCOMM INC,18.0,107.42,1933.5,132.7,2388.65,455.15,23.54
SAMPO.HE,SAMPO OYJ A,795.0,6.5,5169.96,9.25,7353.75,2183.79,42.24
TDOC,TELADOC HEALTH INC,10.0,173.37,1733.65,5.39,53.91,-1679.74,-96.89
TTALO.HE,TERVEYSTALO OYJ,400.0,10.79,4317.0,10.0,4000.0,-317.0,-7.34
UPM.HE,UPM-KYMMENE,220.0,28.82,6339.5,24.13,5308.6,-1030.9,-16.26
DIS,WALT DISNEY CO,35.0,119.57,4185.04,94.52,3308.04,-877.0,-20.96
AGED.MI,ISHARES AGEING POPULATION UCITS ETF - ACC,300.0,6.47,1941.0,8.29,2486.1,545.1,28.08
RBOT.L,ISHARES AUTOMATION ROBOTICS UCITS ETF - ACC,210.0,10.92,2293.38,14.55,3054.66,761.28,33.19
INRG.L,ISHARES GLOBAL CLEAN ENERGY UCITS ETF - USD DIS,150.0,15.06,2259.0,8.95,1343.1,-915.9,-40.54
HEAL.MI,ISHARES HEALTHCARE INNOVATION UCITS ETF - ACC,100.0,6.95,695.0,8.01,800.8,105.8,15.22
CEMA.L,ISHARES MSCI EM ASIA UCITS ETF - USD ACC,20.0,133.1,2662.0,215.7,4314.0,1652.0,62.06
CSEMSZ.XC,ISHARES MSCI EMU SMALL CAP UCITS ETF - EUR ACC,16.0,239.39,3830.3,348.3,5572.8,1742.5,45.49
CSUSSZ.XC,ISHARES MSCI USA SMALL CAP ESG ENHANCED UCITS ETF - USD ACC,6.0,409.0,2454.0,536.6,3219.6,765.6,31.2
IWRD.L,ISHARES MSCI WORLD UCITS ETF - USD DIS,10.0,59.01,590.11,81.08,810.81,220.7,37.4
EXH4.DE,ISHARES STOXX EUROPE 600 INDUSTRIAL GOODS SERVICES UCITS ETF (DE) - EUR DIS,40.0,109.4,4376.0,113.58,4543.2,167.2,3.82
0P0000UI5W.F,OP-AASIA INDEKSI A,85.4967,236.85,20250.32,308.33,26361.2,6110.88,30.18
0P0000UP8W.F,OP-AMERIKKA INDEKSI A,28.5732,419.54,11987.58,548.21,15664.11,3676.53,30.67
ZPRS.F,SPDR MSCI WORLD SMALL CAP UCITS ETF - USD ACC,75.0,74.96,5621.95,116.4,8730.0,3108.05,55.28
GOAT.MI,VANECK MORNINGSTAR GLOBAL WIDE MOAT UCITS ETF - A ACC,100.0,22.67,2267.0,32.12,3212.0,945.0,41.69
MOTE.MI,VANECK MORNINGSTAR US SUSTAINABLE WIDE MOAT UCITS ETF - A ACC,45.0,48.65,2189.25,55.47,2496.15,306.9,14.02
QUTM.DE,VANECK QUANTUM COMPUTING UCITS ETF,80.0,18.42,1473.8,22.5,1799.6,325.8,22.11
SMH,VANECK SEMICONDUCTOR UCITS ETF - ACC,90.0,46.24,4161.3,60.29,5426.1,1264.8,30.39
VHYD.L,VANGUARD FTSE ALLWORLD HIGH DIV. YIELD UCITS ETF,50.0,70.8,3540.0,81.52,4076.0,536.0,15.14
VWCG.DE,VANGUARD FTSE DEVELOPED EUROPE UCITS ETF - EUR ACC,50.0,50.41,2520.5,55.38,2769.0,248.5,9.86
VFEA.MI,VANGUARD FTSE EMERGING MARKETS UCITS ETF - ACC,40.0,60.62,2425.0,70.71,2828.4,403.4,16.64
