ticker,name,quantity,purchase_price_eur,purchase_total_eur,market_price_eur,market_total_eur,change_eur,change_pct
ABBV,ABBVIE INC,10.0,66.7,666.99,193.66,1936.65,1269.65,190.35
GOOG,ALPHABET INC -CL C,10.0,56.26,562.64,263.5,2634.99,2072.35,368.32
AMZN,AMAZON COM INC - ORD SHS,91.0,97.66,8887.39,194.12,17664.66,8777.27,98.76
AZN,ASTRAZENECA PLC,83.0,103.72,8608.72,156.0,12947.75,4339.03,50.4
BBA.L,BAE SYSTEMS,100.0,15.59,1559.0,19.85,1985.0,426.0,27.33
SAN,BANCO SANTANDER SA,300.0,6.8,2038.65,9.96,2987.1,948.45,46.52
BNP.PA,BNP PARIBAS - ORD SHS,30.0,75.09,2252.64,80.6,2418.0,165.36,7.34
BN,BROOKFIELD CORP,49.0,38.15,1869.52,38.66,1894.4,24.88,1.33
DIGIA.HE,DIGIA,200.0,2.46,492.67,6.38,1276.0,783.33,159.0
ENEL.MI,ENEL SPA,400.0,7.43,2970.97,8.74,3495.2,524.23,17.65
FORTUM.HE,FORTUM OYJ,200.0,17.28,3456.25,18.05,3611.0,154.75,4.48
IPN.PA,IPSEN ORD SHS,20.0,114.74,2294.84,120.3,2406.0,111.16,4.84
KOJAMO.HE,KOJAMO OYJ,50.0,13.03,651.67,10.08,504.0,-147.67,-22.66
MANTA.HE,MANDATUM OYJ,159.0,2.96,470.41,6.72,1067.84,597.44,127.0
MRK,MERCK AND CO - ORD SHS,20.0,80.5,1610.01,86.31,1726.26,116.25,7.22
MSFT,MICROSOFT CORP - ORD SHS,40.0,260.38,10415.14,414.89,16595.63,6180.48,59.34
NOKIA.HE,NOKIA OYJ,200.0,5.21,1041.8,5.46,1091.6,49.8,4.78
NDA-FI.HE,NORDEA BANK ABP,158.0,14.84,2344.79,15.82,2500.35,155.56,6.63
NVO,NOVO NORDISK B AS,35.0,43.22,1512.84,41.49,1452.24,-60.6,-4.01
OGN,ORGANON AND COMPANY,2.0,0.0,0.0,5.83,11.66,0.0,0.0
ORNBV.HE,ORION B,60.0,26.53,1592.0,62.2,3732.0,2140.0,134.42
PFE,PFIZER INC - ORD SHS,50.0,0.0,0.0,21.51,1075.39,0.0,0.0
QCOM,QUALCOMM INC,18.0,107.42,1933.5,149.63,2693.39,759.89,39.3
SAMPO.HE,SAMPO OYJ A,795.0,6.5,5169.96,10.2,8109.0,2939.04,56.85
TDOC,TELADOC HEALTH INC,10.0,173.37,1733.65,6.17,61.73,-1671.92,-96.44
TTALO.HE,TERVEYSTALO OYJ,400.0,10.79,4317.0,9.49,3796.0,-521.0,-12.07
UPM.HE,UPM-KYMMENE,220.0,28.82,6339.5,24.05,5291.0,-1048.5,-16.54
DIS,WALT DISNEY CO,35.0,119.57,4185.04,94.98,3324.28,-860.76,-20.57
AGED.MI,ISHARES AGEING POPULATION UCITS ETF - ACC,300.0,6.47,1941.0,8.18,2455.2,514.2,26.49
RBOT.L,ISHARES AUTOMATION ROBOTICS UCITS ETF - ACC,210.0,10.92,2293.38,13.79,2895.48,602.1,26.25
INRG.L,ISHARES GLOBAL CLEAN ENERGY UCITS ETF - USD DIS,150.0,15.06,2259.0,8.1,1215.0,-1044.0,-46.22
HEAL.MI,ISHARES HEALTHCARE INNOVATION UCITS ETF - ACC,100.0,6.95,695.0,7.69,768.7,73.7,10.6
CEMA.L,ISHARES MSCI EM ASIA UCITS ETF - USD ACC,20.0,133.1,2662.0,199.32,3986.4,1324.4,49.75
