# Ticker Mapping File
# Format: company_name,ticker
# One mapping per line
# Lines starting with # are comments
# Empty lines are ignored

# Generated from existing CSV file
# Edit this file manually to add/update ticker mappings

ABBVIE INC,ABBV
ALPHABET INC -CL C,GOOG
AMAZON COM INC - ORD SHS,AMZN
ANGUARD FTSE EMERGING MARKETS UCITS ETF - ACC,VVFEA.L
ASTRAZENECA PLC,AZN
BAE SYSTEMS,BBA.L
BANCO SANTANDER SA,SAN
BNP PARIBAS - ORD SHS,BNP.PA
BROOKFIELD CORP,BN
DIGIA,DIGIA.HE
ENEL SPA,ENEL.MI
FORTUM OYJ,FORTUM.HE
IPSEN ORD SHS,IPN.PA
ISHARES AGEING POPULATION UCITS ETF - ACC,AGED.MI
ISHARES AUTOMATION ROBOTICS UCITS ETF - ACC,RBOT.L
ISHARES GLOBAL CLEAN ENERGY UCITS ETF - USD DIS,INRG.L
ISHARES HEALTHCARE INNOVATION UCITS ETF - ACC,HEAL.MI
ISHARES MSCI EM ASIA UCITS ETF - USD ACC,CEMA.L
ISHARES MSCI EMU SMALL CAP UCITS ETF - EUR ACC,CSEMSZ.XC
ISHARES MSCI USA SMALL CAP ESG ENHANCED UCITS ETF - USD ACC,CSUSSZ.XC
ISHARES MSCI WORLD UCITS ETF - USD DIS,IWRD.L
ISHARES STOXX EUROPE 600 INDUSTRIAL GOODS SERVICES UCITS ETF (DE) - EUR DIS,EXH4.DE
KOJAMO OYJ,KOJAMO.HE
MANDATUM OYJ,MANTA.HE
MERCK AND CO - ORD SHS,MRK
MICROSOFT CORP - ORD SHS,MSFT
NOKIA OYJ,NOKIA.HE
NORDEA BANK ABP,NDA-FI.HE
NOVO NORDISK B AS,NVO
OP-AASIA INDEKSI A,0P0000UI5W.F
OP-AMERIKKA INDEKSI A,0P0000UP8W.F
ORGANON AND COMPANY,OGN
ORION B,ORNBV.HE
PFIZER INC - ORD SHS,PFE
QUALCOMM INC,QCOM
SAMPO OYJ A,SAMPO.HE
SPDR MSCI WORLD SMALL CAP UCITS ETF - USD ACC,ZPRS.F
TELADOC HEALTH INC,TDOC
TERVEYSTALO OYJ,TTALO.HE
UPM-KYMMENE,UPM.HE
VANECK MORNINGSTAR GLOBAL WIDE MOAT UCITS ETF - A ACC,GOAT.MI
VANECK MORNINGSTAR US SUSTAINABLE WIDE MOAT UCITS ETF - A ACC,MOTE.MI
VANECK QUANTUM COMPUTING UCITS ETF,QUTM.DE
VANECK SEMICONDUCTOR UCITS ETF - ACC,SMH
VANGUARD FTSE ALLWORLD HIGH DIV. YIELD UCITS ETF,VHYD.L
VANGUARD FTSE DEVELOPED EUROPE UCITS ETF - EUR ACC,VWCG.DE
VANGUARD FTSE EMERGING MARKETS UCITS ETF - ACC,VFEA.MI
WALT DISNEY CO,DIS
